4269974	Mask
4269979	NewValue
4269984	CurrentState
4264912	Size
4264938	Memory
4273376	lpTopLevelExceptionFilter
4273384	ExceptionInfo
4273414	uExitCode
4273425	hProcess
4268243	lpArguments
4268244	nNumberOfArguments
4268246	dwExceptionFlags
4268247	dwExceptionCode
4270706	lpSystemTimeAsFileTime
4270767	lpPerformanceCount
4271648	dwLength
4271653	lpBuffer
4271663	lpAddress
4271695	nSize
4271696	lpFilename
4271697	hModule
4271845	hModule
4272131	dwBytes
4272132	dwFlags
4272140	hHeap
4272273	lpMem
4272274	dwFlags
4272282	hHeap
4267217	lpArguments
4267218	nNumberOfArguments
4267220	dwExceptionFlags
4267221	dwExceptionCode
4267342	lpMultiByteStr
4267343	int
4267347	int
4267348	int
4267365	lpMultiByteStr
4267371	int
4267380	int
4267381	int
4266211	Comperand
4266216	Exchange
4266217	Destination
4266254	dwMilliseconds
4266442	Trap to Debugger
4266449	Value
4266451	Target
4266572	Code
4270315	Func
4268594	lpMultiByteStr
4268595	int
4268597	int
4268598	int
4269923	lpTopLevelExceptionFilter
4272584	lpLibFileName
4272645	hModule
4272680	hModule
4272694	hModule
4272786	hLibModule
4272860	hLibModule
4272948	lpLibFileName
4267498	cchWideChar
4267500	lpWideCharStr
4267502	cbMultiByte
4267504	lpMultiByteStr
4267511	dwFlags
4267513	CodePage
4267533	cchWideChar
4267540	lpWideCharStr
4267541	cbMultiByte
4267543	lpMultiByteStr
4267544	dwFlags
4267546	CodePage
4267773	lpUsedDefaultChar
4267775	lpDefaultChar
4267777	cbMultiByte
4267779	lpMultiByteStr
4267781	cchWideChar
4267789	lpWideCharStr
4267790	dwFlags
4267792	CodePage
4267803	lpUsedDefaultChar
4267805	lpDefaultChar
4267807	cbMultiByte
4267814	lpMultiByteStr
4267815	cchWideChar
4267823	lpWideCharStr
4267824	dwFlags
4267826	CodePage
4267848	lpUsedDefaultChar
4267850	lpDefaultChar
4267852	cbMultiByte
4267854	lpMultiByteStr
4267856	cchWideChar
4267864	lpWideCharStr
4267865	dwFlags
4267867	CodePage
4267878	lpUsedDefaultChar
4267880	lpDefaultChar
4267882	cbMultiByte
4267889	lpMultiByteStr
4267890	cchWideChar
4267898	lpWideCharStr
4267899	dwFlags
4267901	CodePage
4268777	hModule
4268912	lpString
4268945	lpMultiByteStr
4268946	int
4268948	int
4268949	int
4268980	int
4268982	int
4268983	int
